"OID","Country or Area","Year","Description","Magnitude","Value"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2009","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.275"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2009","SAVINGS RATE","PERCENT PER ANNU","7.0775"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2009","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","0.1"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2009","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.9958"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2009","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.06417"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2008","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.2508"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2008","SAVINGS RATE","PERCENT PER ANNU","7.49627"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2008","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.23161"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2008","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.2549"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2008","LENDING RATE","PERCENT PER ANNU","14.9175"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2008","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.02097"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2007","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.32799"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2007","SAVINGS RATE","PERCENT PER ANNU","5.37286"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2007","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.5267"
"51260B..ZF...","AFGHANISTAN, I.R. OF","2007","MONEY MARKET RATE","PERCENT PER ANNU","5.65"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2007","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","13.4485"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2007","LENDING RATE","PERCENT PER ANNU","18.135"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2007","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","4.15165"
"51260K.FZF...","AFGHANISTAN, I.R. OF","2006","SAVINGS RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","3.49"
"51260K..ZF...","AFGHANISTAN, I.R. OF","2006","SAVINGS RATE","PERCENT PER ANNU","5.02"
"51260B.FZF...","AFGHANISTAN, I.R. OF","2006","MONEY MARKET RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","5.23"
"51260B..ZF...","AFGHANISTAN, I.R. OF","2006","MONEY MARKET RATE","PERCENT PER ANNU","2.5"
"51260P.FZF...","AFGHANISTAN, I.R. OF","2006","LENDING RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","17.48"
"51260P..ZF...","AFGHANISTAN, I.R. OF","2006","LENDING RATE","PERCENT PER ANNU","17.97"
"51260L.FZF...","AFGHANISTAN, I.R. OF","2006","DEPOSIT RATE (FOREIGN CURRENCY)","PERCENT PER ANNU","2.91"
"91460C..ZF...","ALBANIA","2009","TREASURY BILL RATE","PERCENT PER ANNU","6.27329"
"91460P..ZF...","ALBANIA","2009","LENDING RATE","PERCENT PER ANNU","12.6609"
"91460L..ZF...","ALBANIA","2009","DEPOSIT RATE","PERCENT PER ANNU","6.77244"
"91460...ZF...","ALBANIA","2009","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5.25"
"91460C..ZF...","ALBANIA","2008","TREASURY BILL RATE","PERCENT PER ANNU","6.24174"
"91460P..ZF...","ALBANIA","2008","LENDING RATE","PERCENT PER ANNU","13.0196"
"91460L..ZF...","ALBANIA","2008","DEPOSIT RATE","PERCENT PER ANNU","6.80274"
"91460...ZF...","ALBANIA","2008","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","6.25"
"91460C..ZF...","ALBANIA","2007","TREASURY BILL RATE","PERCENT PER ANNU","5.93237"
"91460P..ZF...","ALBANIA","2007","LENDING RATE","PERCENT PER ANNU","14.0996"
"91460L..ZF...","ALBANIA","2007","DEPOSIT RATE","PERCENT PER ANNU","5.6591"
"91460...ZF...","ALBANIA","2007","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","6.25"
"91460C..ZF...","ALBANIA","2006","TREASURY BILL RATE","PERCENT PER ANNU","5.48913"
"91460P..ZF...","ALBANIA","2006","LENDING RATE","PERCENT PER ANNU","12.9399"
"91460L..ZF...","ALBANIA","2006","DEPOSIT RATE","PERCENT PER ANNU","5.22743"
"91460...ZF...","ALBANIA","2006","BANK RATE (END OF PERIOD)","PERCENT PER ANNU","5.5"
"91460C..ZF...","ALBANIA","2005","TREASURY BILL RATE","PERCENT PER ANNU","5.52174"
